"B","C","D","F","G","ro","sigma","delta","oB","oC","oD","oF","oG","oRo","oSigma","oDelta","min1","min2","min3","Q_1","Q_2","Q_3","Q_4","Q_5","pDat","cas"
3,-2,-5,-4,10,0.8,0.005,0.001,3.4950964605,-2.0583428436,-5.1153743805,-5.216633696,10.2521280174,1.0095858131,0.0034426942,-0.002275085,0.0194505724,1.5525e-06,1.5398e-06,-0.0178364893,-0.0040612883,-0.0198756867,-0.318668318,-0.1928701284,20,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,-2,-5,-4,10,0.8,0.005,0.001,3.1789985231,-2.0563389428,-4.935838925,-4.2070927695,9.7835755866,0.3734630812,0.005158184,0.0028660854,0.0829335361,6.335e-06,6.9223e-06,-0.0442032486,-0.0139914154,-0.0422842628,-0.252851428,-0.2516208362,20,20
3,-2,-5,-4,10,0.8,0.005,0.001,2.8050145723,-1.9697222494,-5.3894535202,-2.686436308,10.1861744926,0.3972768734,0.0037204544,0.0020062228,0.0682210379,4.9928e-06,5.3825e-06,-0.0064146805,-0.0043212436,-0.0244011455,-0.0795251377,-0.2635875057,20,20
3,-2,-5,-4,10,0.8,0.005,0.001,3.1555164704,-2.132274827,-4.459837908,-4.5041907721,9.3169374102,1.027346718,0.0030200807,-0.0010643674,0.013642372,1.2309e-06,3.922e-07,-0.0130052859,-0.0036327487,-0.0243941211,-0.1935114864,-0.1127411288,20,20
3,-2,-5,-4,10,0.8,0.005,0.001,3.0841203521,-2.1459811025,-4.6338531408,-3.6120623356,8.9015471853,0.6858331181,0.0048228158,0.0014566258,0.0932074125,5.1703e-06,5.9307e-06,-0.0291176759,-0.0063520718,-0.0280900377,-0.2660005263,-0.2131985841,20,20
3,-2,-5,-4,10,0.8,0.005,0.001,3.271494828,-1.8930112004,-5.3331214327,-5.4304715764,11.8881803088,1.2544062825,0.0099626192,0.0026143012,0.0022893629,3.0136e-06,8.876e-07,-0.0292845368,-0.0137631462,-0.07012617,-0.4797667393,-1.404938807,20,20
3,-2,-5,-4,10,0.8,0.005,0.001,2.8440805905,-1.8916404881,-5.044872337,-4.0632814101,10.4834359426,1.2703310561,0.0042386028,-0.0018599245,0.0026823514,3.4225e-06,1.2499e-06,-0.0322504426,-0.0050724647,-0.0274195486,-0.3848145212,-0.2192382379,20,20
3,-2,-5,-4,10,0.8,0.005,0.001,3.0471065423,-2.0766210248,-4.7932092497,-3.8267623453,9.4330870219,0.9309380674,0.0026436133,0.0008534698,0.0440855337,1.4195e-06,1.2406e-06,-0.0218121528,-0.0047396027,-0.0322311477,-0.2128781,-0.223917563,20,20
3,-2,-5,-4,10,0.8,0.005,0.001,2.9460063156,-2.0314583737,-5.3539983809,-2.4275532148,9.2403523859,0.8802229709,0.0108776113,0.0036750181,0.0667025051,2.22524e-05,8.41e-06,-0.0304247431,-0.0097675573,-0.0568351428,-0.3065235562,-0.6368301634,20,20
3,-2,-5,-4,10,0.8,0.005,0.001,3.104596807,-2.0414029375,-4.7123880913,-4.4836401235,9.8420911135,0.7359555444,0.0065270095,0.0033618331,0.0384819177,6.2213e-06,2.3989e-06,-0.0152899461,-0.0075687436,-0.0452368018,-0.221710451,-0.5935747939,20,20
3,-2,-5,-4,10,0.8,0.005,0.001,2.8270127385,-1.9872946346,-4.9654350065,-3.1251206226,8.8312073902,0.8205987028,0.0048043683,0.0001472927,0.1062782667,9.5583e-06,7.5248e-06,-0.0189285714,-0.0060278716,-0.033212144,-0.1946580151,-0.2005899241,20,20
3,-2,-5,-4,10,0.8,0.005,0.001,2.8876685318,-1.9993050034,-4.9363592353,-3.4719970696,9.263377306,0.4872341296,0.0041339903,-0.0059167692,0.1841573684,2.3248e-06,7.3584e-06,-0.01495057,-0.0032059338,0.0030137769,-0.2339149818,0.0159959088,20,20
3,-2,-5,-4,10,0.8,0.005,0.001,3.0736299741,-2.0292942615,-4.8846346272,-4.0183954936,9.5982359185,0.5378797491,0.0057106812,0.0019125204,0.0478627014,4.2341e-06,4.0908e-06,-0.0126822082,-0.0036603917,-0.0191595836,-0.1291620941,-0.1806134152,30,30
3,-2,-5,-4,10,0.8,0.005,0.001,3.0926374313,-2.1111486857,-4.6211454437,-4.2289179295,9.7333655896,0.8928387238,0.0046105301,0.0010734631,0.0210338712,3.4339e-06,2.102e-06,-0.0079284634,-0.0028985011,-0.0164693386,-0.1127892402,-0.1960929693,30,30
3,-2,-5,-4,10,0.8,0.005,0.001,2.867333981,-2.0425339487,-4.9632299215,-3.1464118082,9.6954695821,0.8321466848,0.0046521844,5.55253e-05,0.0248293731,2.492e-06,2.4801e-06,-0.0124021821,-0.0030303088,-0.0157304597,-0.1992432421,-0.1325383265,30,30
