"B","C","D","F","G","ro","sigma","delta","oB","oC","oD","oF","oG","oRo","oSigma","oDelta","min1","min2","min3","Q_1","Q_2","Q_3","Q_4","Q_5"
3,-2,-5,-4,10,0.3775,0.0421724138,0.0003284,2.7674591616,-1.6460331731,-5.6979060052,-4.6636870085,12.3797608994,0.2684208348,0.0734976918,0.0451710032,0.0082469554,0.000177189,0.000218441,-0.0286615792,-0.0119896004,-0.063785131,-0.4348185719,-0.8734543498
3,-2,-5,-4,10,0.3775,0.0421724138,0.0003798,2.9946048728,-2.0249687352,-5.1923617322,-3.6987804889,10.6412502013,0.3332504115,0.0362885973,-0.0090560007,0.0178499488,5.85348e-05,0.0001247426,-0.0266886094,-0.0076757736,-0.048220591,-0.3858094998,-0.5067572897
3,-2,-5,-4,10,0.3775,0.0421724138,0.000444,2.9753972173,-2.2052509566,-4.4636054231,-2.9577222713,8.087864567,0.4478215683,0.0448069413,0.0004017014,0.0135127095,8.71669e-05,0.0001306089,-0.0396115439,-0.0122254574,-0.0618021813,-0.3635114058,-0.3978653188
3,-2,-5,-4,10,0.3775,0.0490344828,0,2.9946092956,-1.9674000308,-5.0543489024,-4.1059218894,10.4573738386,0.4895135924,0.0386982819,0.0005130748,0.0122595394,5.61806e-05,7.9397e-05,-0.026545979,-0.0072004568,-0.0387786976,-0.3510421773,-0.4847363869
3,-2,-5,-4,10,0.3775,0.0490344828,0.0002502,2.7551744703,-1.9045205083,-5.1421046152,-3.4809471322,9.892377106,0.4781666087,0.0389110343,-0.008195673,0.0130039069,4.40987e-05,8.12993e-05,-0.0247146144,-0.0071471851,-0.0517499515,-0.3201634294,-0.3760831172
3,-2,-5,-4,10,0.3775,0.0490344828,0.0002867,3.1244401943,-2.0485336324,-4.8276131072,-4.8142581415,10.3510478231,0.2286784271,0.0390060707,-0.0311979053,0.0145730645,3.12112e-05,5.33498e-05,-0.0334921541,-0.008660971,-0.0595878276,-0.4103142054,-0.4339898083
3,-2,-5,-4,10,0.3775,0.0490344828,0.0003284,3.4068348526,-2.2476771287,-4.5170937825,-4.4411497775,8.9381657434,0.246515239,0.0461977772,-0.0080515024,0.0156316761,6.93018e-05,0.0001740809,-0.0509106005,-0.014102008,-0.08208603,-0.5174836461,-0.6104782464
3,-2,-5,-4,10,0.3775,0.0490344828,0.0003798,3.0992811229,-1.9847828175,-5.0624486274,-4.5810549659,10.2002046604,0.0397285776,0.0458776322,0.0185327067,0.0090075934,8.17576e-05,0.0001587919,-0.0295364515,-0.0090089054,-0.0489679056,-0.3502685586,-0.549375628
3,-2,-5,-4,10,0.3775,0.0490344828,0.000444,3.3064839823,-2.1329454889,-4.5976498915,-4.9558511173,9.9634498175,0.2735343312,0.0430667721,-0.0001021813,0.0144920546,5.70619e-05,0.000107235,-0.0363023802,-0.0096915961,-0.0611071259,-0.429067075,-0.6121127482
3,-2,-5,-4,10,0.3775,0.0558965517,0,3.4518994707,-2.3056557024,-4.3029085391,-4.2274073829,7.6535849682,0.3200342836,0.0482523407,-0.0396585012,0.0153919911,5.46315e-05,7.74495e-05,-0.0470022977,-0.0116896818,-0.0665608439,-0.598839733,-0.5316937591
3,-2,-5,-4,10,0.3775,0.0558965517,0.0002502,2.6455932694,-1.8168709579,-5.6085171541,-3.272173537,11.3495037794,0.4839201432,0.0777714019,0.0263436436,0.0108397164,0.0002562448,0.0002976653,-0.0333136369,-0.0155666298,-0.1035079156,-0.4591691286,-1.2383282586
3,-2,-5,-4,10,0.3775,0.0558965517,0.0002867,2.8518038378,-2.1139641855,-4.6135203208,-2.659893958,7.3559275473,0.3880820984,0.0485468849,-0.0011790457,0.0157936777,0.0001379707,0.0001994082,-0.0334211795,-0.0121975328,-0.0578149346,-0.2801657277,-0.4993213036
3,-2,-5,-4,10,0.3775,0.0558965517,0.0003284,3.3431141982,-2.1552261902,-4.6086308491,-4.5364587929,9.106707848,0.3552742349,0.0544278394,0.0246232535,0.0101935568,0.0001248645,0.0001748549,-0.0402706764,-0.0129877134,-0.0685019778,-0.4319581163,-0.8325333867
3,-2,-5,-4,10,0.3775,0.0558965517,0.0003798,2.8179695602,-2.153942579,-4.646760053,-2.3224018795,7.4769305745,0.5065646762,0.0403018205,-0.0198410245,0.0131624248,5.48619e-05,0.0001067056,-0.0219241232,-0.0077978197,-0.0526327562,-0.3032934784,-0.49631381
3,-2,-5,-4,10,0.3775,0.0558965517,0.000444,2.8288597128,-1.8843452016,-5.0912776186,-4.1679183321,10.0190846139,0.6559136948,0.0434615923,-0.0208086835,0.0075098945,4.22038e-05,4.88716e-05,-0.0377456282,-0.0106054889,-0.0733710195,-0.4078816133,-0.4559925181
3,-2,-5,-4,10,0.3775,0.0627586207,0,2.8655488986,-2.1393722198,-4.6737066,-2.686888878,7.9856251389,0.4313607318,0.045648927,-0.0263223341,0.0140892991,5.06517e-05,8.25813e-05,-0.0273543649,-0.0090526067,-0.0608259874,-0.3364895448,-0.4582772394
3,-2,-5,-4,10,0.3775,0.0627586207,0.0002502,3.1100733797,-1.9812180336,-5.1289882,-4.35739333,10.2013280411,0.2128694556,0.0719675328,0.0210424888,0.0138532227,0.000128083,0.0002756861,-0.0566176593,-0.0138440222,-0.0785781664,-0.7452365009,-0.8222380748
3,-2,-5,-4,10,0.3775,0.0627586207,0.0002867,2.7191462067,-1.837144968,-5.3723900032,-3.3977953118,10.1937351621,0.5217721901,0.0700378484,0.0194962695,0.0107819992,0.000211661,0.0002366901,-0.0345620137,-0.0132917272,-0.0685946141,-0.4356705465,-0.8772265081
3,-2,-5,-4,10,0.3775,0.0627586207,0.0003284,3.2652499325,-1.7712499513,-5.8963505064,-5.9843211734,13.8598957047,0.1991956787,0.0751406067,0.0451949039,0.0089498852,5.32519e-05,7.41012e-05,-0.0245312726,-0.0098436375,-0.0464939691,-0.2953084836,-0.7725450872
3,-2,-5,-4,10,0.3775,0.0627586207,0.0003798,3.0544249988,-2.0585129636,-4.839310352,-3.9487238282,9.6187428474,0.3566379955,0.0666446488,-0.0009942574,0.0139282421,0.0001548564,0.0002922637,-0.0446965512,-0.0119448372,-0.0739256736,-0.5892723749,-0.6030621644
3,-2,-5,-4,10,0.3775,0.0627586207,0.000444,2.892691363,-2.1009175939,-4.9115600467,-2.6648474269,8.9300321025,0.344269883,0.0696107494,-0.0158236449,0.0162781497,0.0001551251,0.0002779847,-0.0568409605,-0.0135693427,-0.081885574,-0.7267968214,-0.5211885637
3,-2,-5,-4,10,0.3775,0.0696206897,0,2.502730541,-1.9753075382,-4.9411371053,-2.0585745865,8.1296409922,0.4347102713,0.0604049646,-0.0144537141,0.0171705698,0.0002015339,0.0003720757,-0.0218869788,-0.0104815307,-0.0628862632,-0.3067479943,-0.6110712685
3,-2,-5,-4,10,0.3775,0.0696206897,0.0002502,3.7630357716,-2.3826022276,-4.1970361685,-5.3883136149,8.9531516068,0.5246426646,0.0713568809,-0.001317776,0.0117331861,0.0002047854,0.0003278878,-0.091237145,-0.0205022637,-0.1243596934,-1.027697204,-0.9636229538
