"B","C","D","F","G","ro","sigma","delta","oB","oC","oD","oF","oG","oRo","oSigma","oDelta","min1","min2","min3","Q_1","Q_2","Q_3","Q_4","Q_5","pDat","cas"
1,-0.25,-14,-12,60,0.4,0.05,0,0.8511195839,-0.1728016703,-13.9142418988,-10.5187302775,55.9446665951,0.4752196337,0.0804867714,0.0616434145,0.05293072,0.0006536915,0.0005739915,-0.0033083764,-0.0034423326,-0.1554155195,-0.6190549883,-10.8186545404,20,20
1,-0.25,-14,-12,60,0.4,0.05,0,1.0037080041,-0.2545041191,-14.2050984479,-12.0611272637,61.3488078364,0.1234496583,0.0503454225,-0.000714556,0.1652931691,0.0003893201,0.0006562816,-0.0068191398,-0.0018468352,-0.1269134878,-1.3653376939,-15.0436001478,20,20
1,-0.25,-14,-12,60,0.4,0.05,0,1.0482816667,-0.2882537331,-13.7882248487,-12.2039230226,60.2676941389,0.7023055025,0.0527055752,0.0141219097,0.0921119145,0.0005441498,0.0004048641,-0.0038930865,-0.0032499796,-0.1638531974,-0.5608533014,-8.5451026475,20,20
1,-0.25,-14,-12,60,0.4,0.05,0,1.0515047616,-0.3102448801,-13.5245705138,-12.1590404134,57.3819790882,1.0641333502,0.0230028121,0.0090410974,0.0083215911,7.24918e-05,4.95458e-05,-0.0013582131,-0.0009047255,-0.0489954044,-0.2881697466,-4.031872231,20,20
1,-0.25,-14,-12,60,0.4,0.05,0,1.1355368873,-0.2978203749,-13.7850968991,-13.583732192,63.6535034751,0.013847673,0.0409527534,-0.0411028887,0.0099891881,0.0002247341,0.0002596756,-0.0018137276,-0.0015846356,-0.0922262604,-0.5533721207,-4.279440777,20,20
1,-0.25,-14,-12,60,0.4,0.05,0,1.0687111091,-0.2580580441,-14.0242306367,-13.2413835109,64.2032235539,0.0496550587,0.0509836148,0.0085655031,0.1277234378,0.000627671,0.0010099682,-0.0032164227,-0.0030088847,-0.2169455101,-0.5986882747,-18.2555746598,20,20
1,-0.25,-14,-12,60,0.4,0.05,0,0.9956062306,-0.1327865299,-14.8569675461,-12.6903949738,65.3461557976,1.0558137814,0.0435362789,0.0078625369,0.0160654847,0.0002595186,0.0001501954,-0.0039551695,-0.0019897863,-0.1420164376,-1.0104306827,-11.8571114391,20,20
1,-0.25,-14,-12,60,0.4,0.05,0,0.9624394048,-0.2340051526,-14.3300215928,-11.5862432393,62.4233859618,0.3055219572,0.0392160028,0.0265424469,0.1300036144,0.0002053029,0.0004097647,-0.0043924494,-0.0014147964,-0.0946455809,-0.8383893051,-8.295902617,20,20
1,-0.25,-14,-12,60,0.4,0.05,0,0.9974916406,-0.2164460356,-14.3445611483,-12.4586589725,64.3580371355,-0.1130625959,0.0500777273,-0.0082398517,0.2037658329,0.0003901967,0.0007805815,-0.0030832426,-0.002036089,-0.1504538309,-0.7219946974,-9.2077344502,20,20
1,-0.25,-14,-12,60,0.4,0.05,0,1.0006078685,-0.2602574932,-13.7216512712,-11.9604342424,58.4445525374,0.4228555354,0.0209931332,-0.0132887551,0.1217044285,6.25629e-05,0.0001385032,-0.0014293064,-0.0009288943,-0.0611716878,-0.2921475708,-2.5332691689,20,20
1,-0.25,-14,-12,60,0.4,0.05,0,1.0164271567,-0.2472664359,-14.1174429964,-12.6513404053,64.3315400662,0.2766916348,0.0294159424,-0.0211762192,0.1117760536,0.0001188886,0.0001798036,-0.001939412,-0.0010829348,-0.0677717589,-0.5557322304,-7.2978632765,20,20
1,-0.25,-14,-12,60,0.4,0.05,0,1.1151456357,-0.361235357,-13.9075267452,-12.76296782,63.0079362396,-0.7401758355,0.0279006829,-0.0436646452,0.0309518312,0.0001465117,0.0002763447,-0.0029706455,-0.0008009939,-0.0515521992,-1.3179455534,-8.037120867,20,20
