"B","C","D","F","G","ro","sigma","delta","oB","oC","oD","oF","oG","oRo","oSigma","oDelta","min1","min2","min3","Q_1","Q_2","Q_3","Q_4","Q_5"
3,-2,-5,-4,10,0.01,0.0215862069,0.000527,2.9231373854,-1.9736406288,-5.1040141965,-3.6706430506,9.8531542446,0.0810464703,0.0257811547,-0.0070916299,0.0180705291,1.87118e-05,4.31085e-05,-0.0173276814,-0.0047614042,-0.0290842802,-0.248862002,-0.3287104069
3,-2,-5,-4,10,0.01,0.0215862069,0.0006349,3.2417682647,-2.0198242131,-5.1097182442,-4.7933214651,11.0110193628,0.1750059896,0.016160414,0.0029994991,0.0129595627,9.5755e-06,2.00678e-05,-0.0109580188,-0.0039603578,-0.0201658547,-0.1458374409,-0.259791054
3,-2,-5,-4,10,0.01,0.0215862069,0.0007796,3.1712106134,-1.9461660954,-5.0060612613,-5.0679008518,10.3584451985,-0.0440852196,0.020062015,0.0026021919,0.0131345926,1.40418e-05,3.1635e-05,-0.0149015938,-0.0042115899,-0.026595273,-0.2127577675,-0.298236718
3,-2,-5,-4,10,0.01,0.0284482759,0,3.2082323115,-2.0820110592,-4.7018493409,-4.6399303004,9.5515297292,0.0795576842,0.0249168509,0.0013562777,0.01462113,1.90809e-05,4.3275e-05,-0.0174499037,-0.005054731,-0.0314559499,-0.225479841,-0.3027898105
3,-2,-5,-4,10,0.01,0.0284482759,0.0002502,2.9306387127,-1.8912151327,-5.2734203723,-4.2764052911,10.9027946262,0.1728198162,0.025532022,-0.0054204935,0.0160528476,1.57076e-05,4.05647e-05,-0.021983553,-0.0056808352,-0.0409776361,-0.3071069924,-0.4003618387
3,-2,-5,-4,10,0.01,0.0284482759,0.0002867,2.9503247109,-2.0568478941,-4.8521153033,-3.4369279007,9.0990500369,0.1409953019,0.0242502952,-0.0033960051,0.0163467146,1.69652e-05,3.94058e-05,-0.0183828356,-0.00526827,-0.0285725273,-0.1961372854,-0.2294282956
3,-2,-5,-4,10,0.01,0.0284482759,0.0003284,3.0474392457,-1.9186195488,-5.1613719417,-4.6293187718,10.8757793006,0.0797740473,0.0319352594,0.009307573,0.010827016,3.76845e-05,6.93463e-05,-0.0207814481,-0.0074040443,-0.0410006852,-0.2483241653,-0.4042859792
3,-2,-5,-4,10,0.01,0.0284482759,0.0003798,3.1182768799,-2.0710991878,-4.8033166184,-4.2719855933,9.7805950411,-0.4020824367,0.0177431203,-0.0095740888,0.0163682172,1.14314e-05,2.52627e-05,-0.0163515319,-0.0047081846,-0.0303301549,-0.2160057071,-0.3002620736
3,-2,-5,-4,10,0.01,0.0284482759,0.000444,3.0774954901,-1.8992657605,-5.0530566124,-5.2216798026,11.2207549686,0.0751992032,0.0341806414,0.0137871646,0.008969175,4.57557e-05,8.20672e-05,-0.0254500974,-0.009292028,-0.0490757784,-0.2877712026,-0.5181363734
3,-2,-5,-4,10,0.01,0.0284482759,0.000527,3.0063000221,-1.9902173671,-4.992891587,-4.0411544785,9.8085624053,0.2652740753,0.0306860659,0.0089750386,0.0119832251,4.38222e-05,6.93589e-05,-0.0164498098,-0.0050728742,-0.0264771934,-0.234254985,-0.3933489033
3,-2,-5,-4,10,0.01,0.0284482759,0.0006349,3.1896994753,-1.9357472046,-5.1547541931,-5.076976958,11.0419444078,-0.1722536205,0.0205838448,-0.0046637753,0.0174294844,1.04506e-05,2.527e-05,-0.0182407958,-0.0049592254,-0.0315461922,-0.2319058389,-0.2726837073
3,-2,-5,-4,10,0.01,0.0284482759,0.0007796,2.9317253634,-2.0050245485,-4.8877009684,-3.7317647195,9.5772451478,0.046788852,0.0269185519,0.0096951927,0.0090614189,3.17463e-05,5.68269e-05,-0.0139594962,-0.0056151404,-0.0336659463,-0.1572369206,-0.3535103155
3,-2,-5,-4,10,0.01,0.0353103448,0,3.0343523207,-2.0279015289,-4.9598488726,-3.9946219966,9.7062071447,-0.1567911924,0.0270668355,-0.0028746953,0.0160575806,2.20706e-05,5.33341e-05,-0.019512363,-0.0057332175,-0.0333825134,-0.2385229237,-0.3136891363
3,-2,-5,-4,10,0.01,0.0353103448,0.0002502,2.9819285357,-2.0177730654,-4.9184704336,-3.8627424195,9.70760043,-0.2470706467,0.0258135026,-0.0004197675,0.0145496445,2.35156e-05,5.21565e-05,-0.01819101,-0.0057887904,-0.0311719186,-0.2117869033,-0.2791901057
3,-2,-5,-4,10,0.01,0.0353103448,0.0002867,3.1683097904,-2.1206956893,-4.7053354231,-4.1562666014,9.4400916423,-0.032538298,0.0302577903,0.0006540386,0.0140929221,3.09038e-05,6.192e-05,-0.026007893,-0.0072356157,-0.0444759951,-0.2606890059,-0.3693724494
3,-2,-5,-4,10,0.01,0.0353103448,0.0003284,3.1703629736,-2.176317084,-4.5654602925,-3.7933986473,8.3736743757,-0.0801618922,0.0390163591,0.0040095678,0.0129966049,6.37423e-05,0.0001397178,-0.0220888463,-0.0080887338,-0.0454740844,-0.2897708544,-0.4592272944
3,-2,-5,-4,10,0.01,0.0353103448,0.0003798,2.7079080428,-1.9133995805,-5.4359210879,-2.835749667,10.3488525715,0.265508807,0.0396271066,-0.0067330788,0.0163502443,6.05084e-05,0.0001350119,-0.0229922066,-0.0101464425,-0.0625786524,-0.2879205176,-0.6230376193
3,-2,-5,-4,10,0.01,0.0353103448,0.000444,3.0432645199,-2.0176154886,-4.9927597879,-4.0662420896,9.7591964431,-0.0520290269,0.064119426,0.0359224104,0.0052246106,0.0002353464,0.0003492098,-0.0353205411,-0.0157528256,-0.0733181898,-0.3761991674,-0.9545732365
3,-2,-5,-4,10,0.01,0.0353103448,0.000527,2.6715560296,-1.9728150277,-4.9482488805,-2.7447413847,8.8869610011,-0.0418858929,0.0221543334,-0.0142918086,0.0246973105,1.13144e-05,2.32027e-05,-0.0121454542,-0.0034590028,-0.0220323461,-0.1711949218,-0.1965794968
3,-2,-5,-4,10,0.01,0.0353103448,0.0006349,3.1567741532,-1.9701397067,-5.1690179477,-4.6144421589,10.4758698364,0.1645509882,0.0377998616,0.0145069668,0.0103780491,5.20852e-05,9.94299e-05,-0.0202355447,-0.0068599317,-0.0402342707,-0.3155889803,-0.5979160267
3,-2,-5,-4,10,0.01,0.0353103448,0.0007796,2.9491432243,-1.8997228204,-5.1740368278,-4.3200493762,10.6997480832,-0.0407455492,0.0320330651,0.0065886621,0.0122623291,3.8021e-05,6.37551e-05,-0.0187700866,-0.0061962212,-0.0372022074,-0.2225804545,-0.4040994539
3,-2,-5,-4,10,0.01,0.0421724138,0,2.8928865919,-2.0417794488,-4.7642201619,-3.3550485664,8.9085385362,0.1768659617,0.0456489748,0.0061551012,0.0142088075,5.90497e-05,0.0001027705,-0.0277379122,-0.0073532466,-0.0402617553,-0.3680652548,-0.3793346101
3,-2,-5,-4,10,0.01,0.0421724138,0.0002502,3.1680998778,-2.1058702831,-4.8566224031,-4.0984765692,9.5217984629,-0.3440871024,0.0329163528,-0.0117803818,0.0150857012,2.92745e-05,6.52417e-05,-0.0282009868,-0.0068261576,-0.037184576,-0.4061549548,-0.3110341752
3,-2,-5,-4,10,0.01,0.0421724138,0.0002867,3.1151047766,-2.0729716004,-4.8712784005,-4.2317548996,9.9210887607,-0.0767934618,0.0554326952,0.016928211,0.0097517124,0.0001579865,0.000299763,-0.0333615921,-0.0136991101,-0.0714237717,-0.4107497312,-0.8784628242
3,-2,-5,-4,10,0.01,0.0421724138,0.0003284,3.0359584735,-2.0351367422,-4.8841039623,-4.0451817783,9.7368213088,-0.0372702411,0.0654894335,0.0357048737,0.0064815244,0.0002050944,0.0003247923,-0.0284877158,-0.0111683898,-0.0574500834,-0.384705998,-0.8032720662
3,-2,-5,-4,10,0.01,0.0421724138,0.0003798,3.4487847932,-2.1889665933,-4.3882309973,-5.1363009106,8.8608698652,0.004474325,0.0454389395,0.0245026546,0.0077656617,7.2406e-05,0.0001310039,-0.0356445821,-0.0098062246,-0.0618318777,-0.3937336092,-0.5173621236
3,-2,-5,-4,10,0.01,0.0421724138,0.000444,2.8888329075,-1.9740171945,-5.0410600582,-3.5861915589,9.8280991506,0.0356264285,0.0387660197,-0.0005328221,0.0159783255,4.47348e-05,9.12917e-05,-0.0295317915,-0.0072359752,-0.0462869636,-0.3957241528,-0.3738469316
3,-2,-5,-4,10,0.01,0.0421724138,0.000527,2.859368483,-2.0472751125,-4.8171210193,-3.2230659421,9.0586229692,0.3484575155,0.0291990746,-0.0231243866,0.0212975211,2.61186e-05,5.63736e-05,-0.0182214172,-0.0049570719,-0.0312760032,-0.2713120272,-0.2917495574
3,-2,-5,-4,10,0.01,0.0421724138,0.0006349,3.0615932446,-2.219634602,-4.3343898205,-3.5511037677,8.2980773876,0.1475650408,0.037794475,-0.0080503955,0.0166541614,4.86549e-05,0.0001083835,-0.0318156028,-0.0089223123,-0.0624014337,-0.3450084689,-0.4425712898
3,-2,-5,-4,10,0.01,0.0421724138,0.0007796,3.0392310695,-1.8610905058,-5.3306556475,-5.0500426168,11.8245828602,0.10075241,0.0454052537,0.0221380676,0.0090151612,6.80705e-05,0.0001164191,-0.0216961945,-0.0077325172,-0.0422700042,-0.310275963,-0.5719442898
3,-2,-5,-4,10,0.01,0.0490344828,0,2.9603747986,-1.9324813621,-5.2826112522,-4.0973525405,10.9730908641,-0.0084665665,0.0519269051,0.0100274965,0.0128735306,8.94711e-05,0.0001745737,-0.0337287017,-0.012216949,-0.0698276679,-0.3753526002,-0.5962481936
3,-2,-5,-4,10,0.01,0.0490344828,0.0002502,3.0627859132,-1.9307105229,-5.1069535587,-4.6450646401,10.3658286266,0.1293778378,0.0480442372,-0.0119031387,0.0175225356,6.48134e-05,0.0001496754,-0.0386282126,-0.0119034549,-0.0865765133,-0.4571464905,-0.732526261
3,-2,-5,-4,10,0.01,0.0490344828,0.0002867,3.23797256,-2.14769009,-4.7688751514,-4.0539666735,9.1076673759,0.107167024,0.0482595661,-0.0137021158,0.0183831935,6.74163e-05,0.0001598057,-0.0405078687,-0.0115849982,-0.0699107378,-0.4441366801,-0.5127231954
3,-2,-5,-4,10,0.01,0.0490344828,0.0003284,3.1221026811,-2.1289057307,-4.600144842,-3.9925826493,9.1410563683,0.0672908027,0.0602714716,0.000678486,0.0141660304,0.0001750272,0.000379991,-0.0391943328,-0.0159129304,-0.0877200726,-0.4519706867,-0.8428304651
3,-2,-5,-4,10,0.01,0.0490344828,0.0003798,2.8752608161,-1.9493683349,-5.1992392195,-3.5952860512,10.0220989182,0.0237504013,0.0449758675,-0.0031807967,0.0153703965,6.19663e-05,0.0001475732,-0.0313353308,-0.0091001391,-0.0550073252,-0.3667240783,-0.5495447709
3,-2,-5,-4,10,0.01,0.0490344828,0.000444,3.0877874994,-1.9241497932,-5.0789755221,-4.7921876548,10.590234888,0.0794727993,0.0673423663,0.0459761198,0.0051376094,0.0001674698,0.0002549335,-0.0318150452,-0.0140330767,-0.0873463185,-0.3965324158,-1.0877496071
