"","oB","oC","oD","oF","oG","oRo","oSigma","oDelta","odhad"
"338",2.97892882376754,-2.14218195087146,-4.64279292414131,-3.30415692286303,9.00224642499968,0.64954935132547,0.00451329650263036,0.000717829358694831,12
"339",2.97897313951505,-2.14214830264967,-4.64283927756766,-3.30450454069992,9.00254151032143,0.649369720496442,0.00451755714897773,0.00072399126059346,12
"340",2.97899815011439,-2.14213304866976,-4.64286019623462,-3.30468311002543,9.00268825917365,0.649281589886377,0.00451963412423937,0.000727014194763663,12
"341",2.97901005666545,-2.14212548111494,-4.64287043603374,-3.30476966854615,9.00275931089409,0.649238010126915,0.00452066429393565,0.000728508267611016,12
"342",2.97901606629978,-2.14212179580347,-4.64287541487934,-3.30481272282032,9.00279445397026,0.649216492676089,0.00452117258382703,0.000729246080316964,12
"343",2.97901900924485,-2.14211996777496,-4.64287788027082,-3.30483392034261,9.002811770787,0.649205843975934,0.00452142426180895,0.0007296110859251,12
"344",2.97902047095099,-2.14211906577439,-4.64287909668809,-3.30484442036662,9.00282034059505,0.649200575483566,0.00452154874441371,0.000729791644198083,12
"345",2.97902119272494,-2.14211861910992,-4.64287969892995,-3.3048496112505,9.00282457839291,0.649197967820364,0.0045216103589762,0.000729880996860766,12
"346",2.9790215502129,-2.14211839818817,-4.64287999680717,-3.30485218077335,9.00282667575567,0.64919667727652,0.00452164084927816,0.000729925214436867,12
"347",2.97902172706065,-2.14211828883913,-4.64288014424224,-3.30485345219261,9.00282771360511,0.649196038541967,0.00452165593981049,0.000729947098081812,12
"348",2.97902181460061,-2.14211823472788,-4.64288021720065,-3.30485408146723,9.00282822725642,0.649195722419494,0.00452166340822127,0.000729957928490029,12
"349",2.9790218579221,-2.14211820794675,-4.64288025330951,-3.30485439289371,9.00282848146371,0.649195565962677,0.00452166710450618,0.000729963288655265,12
"350",2.97902187936358,-2.14211819469263,-4.64288027117996,-3.30485454702636,9.00282860727601,0.64919548852886,0.00452166893386529,0.000729965941500515,12
"351",2.97902188997523,-2.14211818813288,-4.64288028002443,-3.30485462330913,9.00282866954267,0.649195450205142,0.00452166983925465,0.000729967254448416,12
"352",2.9790218952272,-2.14211818488635,-4.64288028440171,-3.30485466106316,9.00282870035975,0.649195431237912,0.00452167028735071,0.000729967904253691,12
"353",2.97902189782651,-2.14211818327956,-4.64288028656812,-3.30485467974839,9.00282871561176,0.649195421850617,0.00452167050912309,0.000729968225856166,12
"354",2.97902189911296,-2.14211818248434,-4.64288028764032,-3.30485468899612,9.0028287231603,0.649195417204648,0.00452167061888293,0.000729968385024069,12
"355",2.97902189974965,-2.14211818209076,-4.64288028817098,-3.30485469357302,9.00282872689624,0.649195414905251,0.00452167067320552,0.000729968463799732,12
"356",2.97902190006477,-2.14211818189597,-4.64288028843361,-3.30485469583822,9.00282872874523,0.649195413767232,0.00452167070009092,0.000729968502787475,12
"357",2.97902190022072,-2.14211818179957,-4.64288028856359,-3.30485469695932,9.00282872966034,0.649195413204006,0.00452167071339704,0.000729968522083328,12
"358",2.97902190029791,-2.14211818175185,-4.64288028862792,-3.30485469751417,9.00282873011324,0.649195412925249,0.00452167071998256,0.000729968531633295,12
"359",2.97902190033611,-2.14211818172824,-4.64288028865976,-3.30485469778879,9.0028287303374,0.649195412787289,0.00452167072324183,0.000729968536359766,12
"360",2.97902190035501,-2.14211818171655,-4.64288028867552,-3.3048546979247,9.00282873044833,0.649195412719008,0.00452167072485495,0.000729968538698992,12
"361",2.9294184467769,-1.98471672933679,-5.08168613912986,-3.59826564476685,9.69430795022828,0.00495182292333331,0.0108907677328405,0.00306165983900182,13
